"gene","logFC","logCPM","F","PValue","FDR"
"ABHD15",-2.21828454208495,6.61933504561646,83.3132559431903,6.02123816421701e-08,3.44556254005843e-06
"RBP4",7.57397613920362,9.60463082782734,106.591174257252,6.06450647953654e-08,3.44556254005843e-06
"AP1S2",-1.99059571535701,5.75729095773884,85.8681767330649,6.44821650207664e-08,3.62417501681232e-06
"STX1A",1.38027997613874,8.26101201044069,86.7108759962475,6.61220196491321e-08,3.67680634793631e-06
"QDPR",-1.55204571644417,8.39033169300947,86.2388078994716,6.92045357560993e-08,3.80770640418033e-06
"PTP4A1",-1.61613598331778,8.41206029324183,85.3460454000887,7.36322304111556e-08,4.00456082697894e-06
"EZR",-1.65894290565251,7.80776642843409,85.4285392572213,7.43145973248436e-08,4.00456082697894e-06
"AGT",-2.21328849533885,8.13036966971214,85.1913822034546,7.66856559684609e-08,4.09016248721576e-06
"REEP4",-1.74151477510126,5.78194619504167,75.776171194997,8.32708916443472e-08,4.39190228048795e-06
"TSPAN1",3.33092432729716,7.37894001351048,75.9276686204319,8.40233839771944e-08,4.39190228048795e-06
"CHGB",-1.78856427107599,12.4864462656878,83.4457503535933,8.97284478220092e-08,4.64366927490735e-06
"BTG2",-1.89260309938089,8.59337191339874,82.7789036368848,9.18370198788197e-08,4.70619708731952e-06
"DLK1",8.41170352223125,9.4854273289903,129.929608440305,9.30014582251833e-08,4.71959827323333e-06
"VIM",-5.53774404558071,7.85765842343494,97.867239383362,1.01054196771137e-07,5.07894506271861e-06
"TSPAN13",1.72859761838253,8.11135506485402,80.4677941704134,1.11082723869416e-07,5.52980378728989e-06
"ANXA4",-2.57296615238471,5.98467145045359,67.7437428323883,1.12619192404579e-07,5.55340111979938e-06
"IGFBP7",-1.83007449798813,8.16444359257788,79.9249218123993,1.15686860082199e-07,5.65135717429583e-06
"CADM1",1.85123604594635,8.0750785160019,78.7667919759804,1.27671859906295e-07,6.17908159009448e-06
"TXNIP",-2.41868243676097,6.289821718956,74.6237930061017,1.37710214325383e-07,6.57892005291924e-06
"NR3C1",1.66114043658677,7.32350929359623,77.9722054447188,1.38518968020227e-07,6.57892005291924e-06
"MPC2",-1.38337930970339,8.00341244498995,77.6639183123069,1.40561973685628e-07,6.57892005291924e-06
