"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.68065620483582e-66,4.80151698695121,0.43,0.012,1.38873137964963e-61,"5","Cdca5"
1.68114758378819e-65,2.76254571658573,0.763,0.194,2.68949990454434e-61,"1","Capg"
1.45336066556865e-64,4.5752097641101,0.516,0.029,2.32508639277672e-60,"5","Cenpe"
1.93726264258796e-64,3.2242775126137,0.71,0.072,3.09923277561222e-60,"5","Cenpw"
3.14246545941978e-64,5.26795683795861,0.387,0.008,5.02731624197976e-60,"5","Spdl1"
5.26717607446735e-64,4.44948835782854,0.43,0.014,8.42642828393287e-60,"5","Cenpu"
6.34350318205509e-64,3.02317494987917,0.892,0.152,1.01483363906517e-59,"5","Spc25"
7.41365354208373e-64,3.4062636720603,0.656,0.058,1.18603629366256e-59,"5","Chaf1a"
9.29335286486401e-64,3.88414646683594,0.495,0.024,1.48675059132094e-59,"5","Kif20b"
1.6425512771585e-63,2.19014975847505,0.969,0.342,2.62775353319817e-59,"2","1700086L19Rik"
2.17226112103784e-63,3.07478163795574,0.609,0.093,3.47518334143634e-59,"1","Cdc42ep1"
3.13823879655043e-63,6.11766525766847,0.333,0.002,5.02055442672139e-59,"5","Sgol2a"
9.11803504490054e-63,0.698736556934101,1,1,1.45870324648319e-58,"1","Rpl3"
1.37333763650727e-62,2.84716776979037,0.688,0.147,2.19706555088433e-58,"1","Sdc4"
1.52555170563641e-62,4.5001257228846,0.462,0.02,2.44057761867713e-58,"5","Kifc1"
3.25368395751348e-62,2.26110459575805,0.914,0.265,5.20524359523007e-58,"2","Dbpht2"
3.29340449534476e-62,3.68411724814703,0.613,0.052,5.26878851165254e-58,"5","Cenph"
3.44776070612808e-62,2.72172044787736,0.674,0.131,5.5157275776637e-58,"1","Cdc42ep5"
4.10597594314538e-62,4.99257033017301,0.387,0.009,6.56874031384398e-58,"5","Anln"
4.53106715243847e-62,4.93086025234151,0.43,0.016,7.24880123047106e-58,"5","Ube2c"
4.90096896367564e-62,1.93879970190243,0.969,0.707,7.84057014808829e-58,"0","Btg2"
6.12210564172814e-62,3.57090913140006,0.636,0.102,9.79414460563667e-58,"3","Peg10"
6.18847570683992e-62,2.45637372663993,0.945,0.467,9.90032343580251e-58,"2","Pdx1"
6.73632147141729e-62,4.92005661529232,0.429,0.023,1.07767670899734e-57,"2","G6pc2"
1.28917041862065e-61,4.11811104783203,0.462,0.02,2.06241483570932e-57,"5","Cenpn"
1.75797863889299e-61,4.09264423553387,0.505,0.029,2.812414226501e-57,"5","Bub1b"
1.91439141272337e-61,1.59325236348837,0.982,0.758,3.06264338207484e-57,"0","Ypel3"
2.35677556917185e-61,2.42528681485902,0.772,0.195,3.77036955556112e-57,"1","Habp2"
3.63424290298207e-61,2.41570281699019,0.812,0.254,5.81406179619071e-57,"0","Runx1t1"
8.49878097186695e-61,2.4785032038647,0.932,0.306,1.35963497987927e-56,"3","Slc38a5"
9.07567265657648e-61,3.47704835365169,0.509,0.054,1.45192611159911e-56,"0","Neurod2"
1.49066915240284e-60,3.4789071680389,0.591,0.047,2.38477251001406e-56,"5","Dbf4"
2.18675990276433e-60,5.17938646409877,0.376,0.009,3.49837849244238e-56,"5","Bub1"
4.25055133043996e-60,0.689592461575689,1,1,6.80003201843785e-56,"1","Rpl13"
6.89710825953058e-60,4.72451952383414,0.442,0.029,1.1033993793597e-55,"2","Mapt"
6.95313821256124e-60,2.95488883878213,0.786,0.36,1.11236305124555e-55,"0","1110012L19Rik"
7.09155051517618e-60,3.59015142165376,0.564,0.07,1.13450625141789e-55,"2","Ero1lb"
8.10189659990207e-60,4.25981037551281,0.43,0.017,1.29614141805233e-55,"5","Dscc1"
1.46296289691113e-59,1.83923454871528,0.949,0.36,2.34044804247843e-55,"1","Wfdc2"
2.00916848123178e-59,3.06669944392551,0.6,0.103,3.2142677362746e-55,"1","Sphk1"
3.50056859195539e-59,5.18065985782785,0.344,0.006,5.60020963341024e-55,"5","E2f8"
5.33617159334441e-59,2.25751371600989,0.851,0.305,8.5368073150324e-55,"1","S100a10"
6.40709213529598e-59,0.753455779775068,1,1,1.02500659980465e-54,"1","Rps19"
1.37777450970275e-58,2.34016353343131,0.753,0.188,2.20416366062246e-54,"1","S100a16"
2.86414770290517e-58,4.05059363611615,0.559,0.047,4.5820634951077e-54,"5","Tcf19"
3.97942565844704e-58,3.85317905135531,0.559,0.046,6.36628516838358e-54,"5","Kif22"
4.85997592703033e-58,1.91303080006772,0.957,0.3,7.77498948806312e-54,"2","Scgn"
7.05523592370003e-58,2.33714490327367,0.768,0.264,1.12869664307353e-53,"0","Celf3"
7.7701374887664e-58,1.76385093682272,0.912,0.329,1.24306659545285e-53,"1","Smco4"
8.55674520635298e-58,1.69562897037732,0.949,0.424,1.36890809811235e-53,"1","Ldha"
2.16516094433833e-57,2.14456391344245,0.912,0.438,3.46382447875246e-53,"1","Pdzk1ip1"
3.43629399461369e-57,1.83434352850788,0.912,0.364,5.49738313258298e-53,"1","Cyba"
3.99290736395857e-57,3.60985870799767,0.581,0.051,6.38785320086093e-53,"5","Atad2"
9.58258735588503e-57,6.2431811622216,0.301,0.002,1.53302232519449e-52,"5","Ska3"
1.45223843739957e-56,1.38413837052915,0.995,0.83,2.32329105215183e-52,"1","Myl12a"
2.76791506120731e-56,2.9134085172534,0.581,0.099,4.42811051491945e-52,"1","Fgfr2"
